lon,lat,sess
-100.4458825,39.7837304,1749431
-3.2765753,54.7023545,132943
10.4234469,51.0834196,125248
-107.9917071,61.0666922,115269
12.674297,42.6384261,105045
134.755,-24.7761086,82219
1.8883335,46.603354,81921
-4.003104,40.0028028,73467
78.6677428,22.3511148,44885
19.0258159,52.0977181,38524
4.66696,50.6407351,38269
104.999927,35.000074,34809
97.7453061,64.6863136,33076
5.7480821,52.5001698,32979
34.9249653,38.9597594,32774
-100.0000375,22.5000485,30859
-53.2,-10.3333333,28922
139.2394179,36.5748441,26880
114.5632032,-4.7993356,25987
8.2319736,46.7985624,18369
172.8344077,-41.5000831,17593
13.199959,47.2000338,16367
-65.2699754,-35.0039032,14551
15.4749544,49.8167003,14516
122.7312101,12.7503486,14433
21.9999569,39.000041,13388
24.6859225,45.9852129,12914
14.5208584,59.6749712,12649
-7.8896263,40.033265,12445
127.937111,35.3985008,11455
19.5060937,47.1817585,10584
31.2718321,49.4871968,10275
-7.9794599,52.865196,10092
-75.0458515,-6.8699697,9592
10.3333283,55.670249,9107
-73.7845072,2.8930783,8962
20.55144,44.1534121,8914
108.4265113,13.2904027,8598
29.2675469,26.2540493,8313
35.0015196,30.8760272,7788
120.9820179,23.9739374,7647
17.0118954,45.5643442,7080
-71.3187697,-31.7613365,6688
103.852038,1.2904527,6656
112.8471939,2.3923759,6471
52.9471344,32.9407496,5926
11.5258473566,64.574131,5838
24.991639,-28.8166236,5671
114.1628131,22.2793278,5607
25.9209164,63.2467777,5490
71.247499,30.3308401,5457
19.4528646,48.7411522,5097
100.83273,14.8971921,4195
25.4856617,42.6073975,3706
-79.3666965,-1.3397668,3692
-66.1109318,8.0018709,3561
2.9999825,28.0000272,3405
-7.3366043,31.1728192,3400
53.9994829,24.0002488,3342
23.7499998,55.3500003,3221
17.5859673,44.3092405,3013
14.4808369,45.8133113,3007
42.3528328,25.6242618,2994
27.6971358,53.4250605,2403
-66.5841246,18.2017809,2150
44.6736646,40.7696272,2052
9.400138,33.8439408,1845
7.9999721,9.6000359,1837
21.7168387,41.6171214,1752
-56.0201525,-32.8755548,1684
24.5999717,56.8666904,1676
-64.9912286,-17.0568696,1596
90.2932426,24.4768783,1579
-89.8988087,15.6356088,1540
-84.0739102,10.2735633,1518
44.1749775,33.0955793,1501
25.3319078,58.7523778,1416
-60.9821067,10.8677845,1375
19.9999619,41.000028,1348
38.4313975,1.4419683,1268
-70.3012705,19.094175,1224
28.5110236,47.286747,1217
84.0916787,28.1083178,1181
6.1296751,49.8158683,1144
80.7038245875,7.878,1121
35.843409,33.8750629,1058
-81.3066246,8.3096067,997
19.291739,43.0285558,993
36.941628,31.1667049,947
51.2295295,25.3336984,937
33.1451285,34.9823018,925
-18.1059013,64.9841821,844
20.953599,42.6430165,767
-88.9140683,13.8000382,709
-77.3947693,18.1850507,674
14.3836306159,35.9446731,663
65.2093197,47.2286086,661
18.1236723,26.8234472,657
39.0494106,34.6401861,610
35.7878438,-6.5247123,608
38.6521203,10.2116702,588
