lon,lat,sess
-100.4458825,39.7837304,396404
-107.9917071,61.0666922,22115
114.5632032,-4.7993356,20494
10.4234469,51.0834196,19292
-3.2765753,54.7023545,18177
-4.003104,40.0028028,12782
1.8883335,46.603354,12299
12.674297,42.6384261,10073
134.755,-24.7761086,9495
78.6677428,22.3511148,6352
5.7480821,52.5001698,5641
104.999927,35.000074,5617
122.7312101,12.7503486,5430
97.7453061,64.6863136,5258
19.0258159,52.0977181,5038
4.66696,50.6407351,4872
139.2394179,36.5748441,4580
20.55144,44.1534121,4091
-53.2,-10.3333333,3629
108.4265113,13.2904027,3216
34.9249653,38.9597594,3163
-100.0000375,22.5000485,2675
8.2319736,46.7985624,2637
13.199959,47.2000338,2322
29.2675469,26.2540493,2174
31.2718321,49.4871968,2140
112.8471939,2.3923759,2091
21.9999569,39.000041,2050
14.5208584,59.6749712,1914
35.0015196,30.8760272,1777
-65.2699754,-35.0039032,1754
17.0118954,45.5643442,1723
19.5060937,47.1817585,1718
24.6859225,45.9852129,1704
15.4749544,49.8167003,1679
10.3333283,55.670249,1525
-7.8896263,40.033265,1522
11.5258473566,64.574131,1416
-7.9794599,52.865196,1339
42.3528328,25.6242618,1294
21.7168387,41.6171214,1293
17.5859673,44.3092405,1270
71.247499,30.3308401,1260
172.8344077,-41.5000831,1247
52.9471344,32.9407496,1220
14.4808369,45.8133113,1172
19.4528646,48.7411522,1121
120.9820179,23.9739374,1040
100.83273,14.8971921,1013
25.9209164,63.2467777,971
127.937111,35.3985008,965
-73.7845072,2.8930783,935
24.5999717,56.8666904,914
103.852038,1.2904527,883
114.1628131,22.2793278,872
25.4856617,42.6073975,747
-71.3187697,-31.7613365,682
23.7499998,55.3500003,667
24.991639,-28.8166236,666
-7.3366043,31.1728192,655
44.1749775,33.0955793,596
-75.0458515,-6.8699697,573
19.291739,43.0285558,562
36.941628,31.1667049,509
53.9994829,24.0002488,507
2.9999825,28.0000272,434
44.6736646,40.7696272,402
25.3319078,58.7523778,395
-66.1109318,8.0018709,381
-66.5841246,18.2017809,375
-18.1059013,64.9841821,358
28.5110236,47.286747,327
9.400138,33.8439408,310
35.843409,33.8750629,271
19.9999619,41.000028,261
38.4313975,1.4419683,255
