lon,lat,sess
-100.4458825,39.7837304,157182
10.4234469,51.0834196,9167
114.5632032,-4.7993356,9004
-107.9917071,61.0666922,8966
-3.2765753,54.7023545,7178
134.755,-24.7761086,5875
1.8883335,46.603354,4747
122.7312101,12.7503486,4060
-4.003104,40.0028028,3486
12.674297,42.6384261,3457
78.6677428,22.3511148,3230
104.999927,35.000074,2598
139.2394179,36.5748441,2480
5.7480821,52.5001698,2314
19.0258159,52.0977181,1928
-53.2,-10.3333333,1870
97.7453061,64.6863136,1867
4.66696,50.6407351,1712
108.4265113,13.2904027,1613
20.55144,44.1534121,1396
-100.0000375,22.5000485,1372
8.2319736,46.7985624,1365
13.199959,47.2000338,1170
-65.2699754,-35.0039032,1109
29.2675469,26.2540493,994
34.9249653,38.9597594,986
31.2718321,49.4871968,967
35.0015196,30.8760272,920
112.8471939,2.3923759,818
172.8344077,-41.5000831,812
42.3528328,25.6242618,763
52.9471344,32.9407496,755
14.5208584,59.6749712,743
15.4749544,49.8167003,738
21.9999569,39.000041,736
-71.3187697,-31.7613365,721
19.5060937,47.1817585,687
24.991639,-28.8166236,653
11.5258473566,64.574131,593
-7.9794599,52.865196,532
24.6859225,45.9852129,530
127.937111,35.3985008,499
14.4808369,45.8133113,493
-7.8896263,40.033265,465
17.0118954,45.5643442,460
100.83273,14.8971921,443
24.5999717,56.8666904,426
10.3333283,55.670249,416
120.9820179,23.9739374,404
103.852038,1.2904527,399
71.247499,30.3308401,392
-73.7845072,2.8930783,378
114.1628131,22.2793278,370
44.1749775,33.0955793,365
-75.0458515,-6.8699697,364
25.4856617,42.6073975,338
19.4528646,48.7411522,324
25.9209164,63.2467777,322
21.7168387,41.6171214,295
17.5859673,44.3092405,275
-18.1059013,64.9841821,242
53.9994829,24.0002488,215
47.4979476,29.2733964,210
-66.5841246,18.2017809,202
-7.3366043,31.1728192,199
23.7499998,55.3500003,185
25.3319078,58.7523778,184
2.9999825,28.0000272,172
44.6736646,40.7696272,160
-66.1109318,8.0018709,155
19.291739,43.0285558,136
39.0494106,34.6401861,119
-56.0201525,-32.8755548,117
-79.3666965,-1.3397668,92
36.941628,31.1667049,87
27.6971358,53.4250605,86
-89.8988087,15.6356088,85
19.9999619,41.000028,83
35.162072,31.649741,82
90.2932426,24.4768783,80
35.843409,33.8750629,80
-64.9912286,-17.0568696,79
7.9999721,9.6000359,73
38.4313975,1.4419683,72
-81.3066246,8.3096067,72
9.400138,33.8439408,71
-84.0739102,10.2735633,70
65.2093197,47.2286086,70
18.1236723,26.8234472,69
-60.9821067,10.8677845,62
84.0916787,28.1083178,58
51.2295295,25.3336984,56
80.7038245875,7.878,56
33.1451285,34.9823018,52
28.5110236,47.286747,52
63.9528098,41.32373,52
6.1296751,49.8158683,51
35.7878438,-6.5247123,45
-88.9140683,13.8000382,41
-59.5250305,13.1500331,39
-70.3012705,19.094175,37
57.0036901,21.0000287,30
14.3836306159,35.9446731,29
47.8207429,40.1636668,27
-1.0800271,8.0300284,27
-84.5978534,15.0610686,25
-58.1693445,-23.3165935,25
47.8915271,16.3471243,24
-77.3947693,18.1850507,23
114.5653908,4.4137155,22
104.869423,13.5066394,20
103.8499736,46.8250388,20
-84.8700308,12.3724928,19
50.5344606,26.1551249,18
30.3714240786,15.79125,18
125.8375756,-8.5151979,17
57.5703566,-20.2759451,15
-78.0000547,24.7736546,14
-80.8328748,23.0131338,14
-7.0322972,62.0448724,13
17.3231107,-23.2335499,13
165.4880773,-21.3019905,13
55.5265771,-21.1309332,13
-14.4529612,14.4750607,13
113.5381216,22.1919514,12
38.6521203,10.2116702,11
30.0644358,-1.9646631,11
24.5928742,-23.1681782,10
179.0122737,-18.1239696,10
95.9999652,17.1750495,10
64.9998468,33.0000866,9
-88.7600927,16.8259793,9
-64.7603583,32.3018217,9
-5.5679458,7.9897371,9
-4.5591148,54.1936805,8
32.2166578,1.5333554,8
29.7468414,-18.4554963,8
90.5119273,27.549511,7
46.4416422,-18.9249604,7
9.3238432,17.7356214,7
13.1535811,4.6125522,6
103.378253,20.0171109,6
144.2489081,-5.6816069,6
27.5599164,-14.5186239,6
17.5691241,-11.8775768,5
-61.3653618,15.4113138,5
-5.35172472574,36.1316601,5
144.733626446,13.444138,5
-2.2900239,16.3700359,5
145.213452483,14.1490205,5
70.8156541,38.6281733,5
-58.6416891,4.8417097,4
74.724091,41.5089324,4
-56.0771187,4.1413025,4
-64.7080574,17.789187,4
-1.6880314,12.0753083,3
-80.5667132,19.5417212,3
42.7377044381,11.85270615,3
-61.6904045,12.1360374,3
-61.5650444,16.2490067,3
-72.3570972,19.1399952,3
73.4867968,4.2218417,3
-9.2399263,20.2540382,3
34.9144977,-19.302233,3
-61.2765569,12.90447,3
31.3991317,-26.5624806,3
-69.9618475,12.5013629,2
23.8222636,-2.9814344,2
10.5170357,1.613172,2
37.9999668,15.9500319,2
-145.144109825,-16.36534505,2
-42.8125967,77.6192349,2
-2.58120210033,49.46229125,2
9.54693948514,47.15934115,2
-60.9620777,14.6113732,2
7.4197456,43.7312599,2
2.2584408,9.5293472,1
-64.5661642,18.4024395,1
11.6899699,-0.8999695,1
-15.4900464,13.470062,1
-10.7083587,10.7226226,1
170.9985095,6.9518742,1
166.9333009,-0.5249624,1
133.313631,6.097367,1
-62.7687277,17.3462278,1
-60.975036,13.8250489,1
-172.1200508,-13.7693895,1
1.0199765,8.7800265,1
