lon,lat,sess
-100.4458825,39.7837304,1503790
10.4234469,51.0834196,102196
-107.9917071,61.0666922,83645
-3.2765753,54.7023545,77450
1.8883335,46.603354,62946
12.674297,42.6384261,62033
-4.003104,40.0028028,45493
134.755,-24.7761086,42715
78.6677428,22.3511148,31960
19.0258159,52.0977181,26406
97.7453061,64.6863136,26189
114.5632032,-4.7993356,24383
104.999927,35.000074,24250
139.2394179,36.5748441,22952
34.9249653,38.9597594,21158
-100.0000375,22.5000485,19193
5.7480821,52.5001698,19089
4.66696,50.6407351,18564
-53.2,-10.3333333,18301
122.7312101,12.7503486,14883
8.2319736,46.7985624,13469
13.199959,47.2000338,10984
19.5060937,47.1817585,9301
14.5208584,59.6749712,9298
-65.2699754,-35.0039032,9266
15.4749544,49.8167003,8715
-7.8896263,40.033265,8682
20.55144,44.1534121,8335
31.2718321,49.4871968,8082
21.9999569,39.000041,7850
24.6859225,45.9852129,7494
108.4265113,13.2904027,6572
120.9820179,23.9739374,6344
127.937111,35.3985008,6150
10.3333283,55.670249,5910
-7.9794599,52.865196,5723
35.0015196,30.8760272,5684
17.0118954,45.5643442,5202
112.8471939,2.3923759,5174
71.247499,30.3308401,5127
-75.0458515,-6.8699697,4840
-73.7845072,2.8930783,4747
172.8344077,-41.5000831,4689
25.9209164,63.2467777,4467
114.1628131,22.2793278,4444
100.83273,14.8971921,4328
19.4528646,48.7411522,4097
29.2675469,26.2540493,4008
11.5258473566,64.574131,4003
52.9471344,32.9407496,3914
-71.3187697,-31.7613365,3830
103.852038,1.2904527,3210
42.3528328,25.6242618,3107
25.4856617,42.6073975,2913
14.4808369,45.8133113,2704
53.9994829,24.0002488,2681
24.991639,-28.8166236,2649
2.9999825,28.0000272,2594
17.5859673,44.3092405,2554
-7.3366043,31.1728192,2480
44.6736646,40.7696272,2327
23.7499998,55.3500003,2258
-66.1109318,8.0018709,2224
-79.3666965,-1.3397668,2018
-66.5841246,18.2017809,1975
21.7168387,41.6171214,1896
24.5999717,56.8666904,1740
9.400138,33.8439408,1621
25.3319078,58.7523778,1543
27.6971358,53.4250605,1331
-84.0739102,10.2735633,1253
44.1749775,33.0955793,1189
-56.0201525,-32.8755548,1149
-64.9912286,-17.0568696,1126
7.9999721,9.6000359,1034
28.5110236,47.286747,937
38.4313975,1.4419683,923
-89.8988087,15.6356088,915
35.843409,33.8750629,863
-70.3012705,19.094175,856
80.7038245875,7.878,845
84.0916787,28.1083178,836
90.2932426,24.4768783,826
-81.3066246,8.3096067,768
14.3836306159,35.9446731,766
36.941628,31.1667049,731
-88.9140683,13.8000382,686
6.1296751,49.8158683,579
-1.0800271,8.0300284,560
-77.3947693,18.1850507,554
19.9999619,41.000028,544
19.291739,43.0285558,540
51.2295295,25.3336984,531
-18.1059013,64.9841821,490
33.1451285,34.9823018,485
38.6521203,10.2116702,469
65.2093197,47.2286086,467
63.9528098,41.32373,437
-60.9821067,10.8677845,432
47.4979476,29.2733964,430
18.1236723,26.8234472,413
-78.0000547,24.7736546,383
-84.5978534,15.0610686,368
39.0494106,34.6401861,363
47.8207429,40.1636668,333
-58.1693445,-23.3165935,330
35.7878438,-6.5247123,328
-72.3570972,19.1399952,303
57.5703566,-20.2759451,303
-84.8700308,12.3724928,303
104.869423,13.5066394,265
-59.5250305,13.1500331,257
57.0036901,21.0000287,215
35.162072,31.649741,212
-80.8328748,23.0131338,207
113.5381216,22.1919514,205
-14.4529612,14.4750607,200
32.2166578,1.5333554,200
165.4880773,-21.3019905,198
103.8499736,46.8250388,180
-2.1358386,49.2214561,175
50.5344606,26.1551249,168
13.1535811,4.6125522,167
74.724091,41.5089324,156
30.3714240786,15.79125,148
29.7468414,-18.4554963,148
46.4416422,-18.9249604,145
55.5265771,-21.1309332,138
-5.5679458,7.9897371,137
47.8915271,16.3471243,133
144.733626446,13.444138,119
114.5653908,4.4137155,117
34.9144977,-19.302233,108
179.0122737,-18.1239696,104
95.9999652,17.1750495,104
24.5928742,-23.1681782,95
27.5599164,-14.5186239,94
17.3231107,-23.2335499,93
17.5691241,-11.8775768,90
-145.144109825,-16.36534505,87
30.0644358,-1.9646631,76
-61.5650444,16.2490067,71
23.8222636,-2.9814344,69
-88.7600927,16.8259793,64
73.4867968,4.2218417,64
-56.0771187,4.1413025,63
-5.35172472574,36.1316601,60
-60.9620777,14.6113732,56
103.378253,20.0171109,51
-61.3653618,15.4113138,48
